174798,12/09/2020,Arica y Parinacota,Chile,2021-04-02 15:13:53,10340.0,211.0,10033.0
94149,08/23/2020,Pernambuco,Brazil,2021-04-02 15:13:53,119140.0,7390.0,100330.0
94894,08/24/2020,Pernambuco,Brazil,2021-04-02 15:13:53,119357.0,7399.0,100330.0
