Month_As_Number,Year,Country,Confirmed,Deaths,Recovered
3,2020,Spain,95923,8464,19259
4,2020,Spain,236899,24275,132929
4,2021,Spain,549722,9617,10671
4,2021,Spain,117986,3437,3772
4,2021,Spain,50621,1943,1063
4,2021,Spain,59191,820,1533
4,2021,Spain,390460,7294,9970
4,2021,Spain,52505,728,1537
4,2021,Spain,28629,556,2287
4,2021,Spain,184929,5846,6392
4,2021,Spain,222744,6751,8716
4,2021,Spain,582957,14082,26203
4,2021,Spain,5751,104,163
4,2021,Spain,73872,1790,2652
4,2021,Spain,121792,2375,9204
4,2021,Spain,29550,759,3107
4,2021,Spain,680270,14990,40736
4,2021,Spain,8693,89,125
4,2021,Spain,110680,1587,2180
4,2021,Spain,59722,1155,3905
4,2021,Spain,184868,4157,16160
4,2021,Spain,0,0,0
