Month_As_Number,Year,Country,Confirmed,Deaths,Recovered
1,2020,India,1,0,0
1,2020,India,1,0,0
2,2020,India,1,0,0
3,2020,India,1397,35,123
4,2020,India,33062,1079,8437
4,2021,India,5875,67,5643
4,2021,India,1084336,7928,962250
4,2021,India,18256,59,17085
4,2021,India,249926,1281,224194
4,2021,India,454464,2480,351162
4,2021,India,41923,465,34806
4,2021,India,713706,8312,587484
4,2021,India,7334,4,5249
4,2021,India,1122286,15772,1008537
4,2021,India,88028,1146,65984
4,2021,India,553172,7010,408368
4,2021,India,474145,4118,376852
4,2021,India,96929,1460,77634
4,2021,India,172551,2253,144154
4,2021,India,227450,2540,169033
4,2021,India,1474846,15306,1110025
4,2021,India,1533984,5259,1244301
4,2021,India,13866,140,12129
4,2021,India,2662,4,1382
4,2021,India,550927,5519,453331
4,2021,India,4539553,67985,3799266
4,2021,India,31315,400,29690
4,2021,India,16617,169,14917
4,2021,India,6019,14,4882
4,2021,India,13750,100,12577
4,2021,India,435513,2029,380400
4,2021,India,57427,793,47645
4,2021,India,364910,8909,301047
4,2021,India,580846,4084,407243
4,2021,India,7747,146,6354
4,2021,India,1148064,13933,1021575
4,2021,India,435606,2261,355618
4,2021,India,35169,396,33612
4,2021,India,0,0,0
4,2021,India,1217952,12238,896477
4,2021,India,174867,2502,124046
4,2021,India,810955,11248,689466
