Month_As_Number,Year,Country,Confirmed,Deaths,Recovered
4,2021,US,527513,10887,0
4,2021,US,68002,347,0
4,2021,US,861653,17305,0
4,2021,US,335529,5735,0
4,2021,US,3740038,61672,0
4,2021,US,509194,6284,0
4,2021,US,338447,8084,0
4,2021,US,104038,1624,0
4,2021,US,49,0,0
4,2021,US,47614,1105,0
4,2021,US,2228212,35084,0
4,2021,US,1098723,20158,0
4,2021,US,103,3,0
4,2021,US,7959,136,0
4,2021,US,33659,483,0
4,2021,US,187479,2045,0
4,2021,US,1331747,24252,0
4,2021,US,718948,13324,0
4,2021,US,364486,5931,0
4,2021,US,310014,4941,0
4,2021,US,443408,6497,0
4,2021,US,457896,10376,0
4,2021,US,60945,782,0
4,2021,US,446459,8718,0
4,2021,US,687638,17594,0
4,2021,US,932604,18716,0
4,2021,US,573938,7221,0
4,2021,US,311654,7195,0
4,2021,US,590973,9132,0
4,2021,US,108663,1570,0
4,2021,US,219559,2243,0
4,2021,US,314928,5459,0
4,2021,US,94676,1301,0
4,2021,US,995365,25529,0
4,2021,US,197447,4058,0
4,2021,US,2044345,52209,0
4,2021,US,967521,12631,0
4,2021,US,107298,1522,0
4,2021,US,164,2,0
4,2021,US,1070771,19188,0
4,2021,US,447931,6788,0
4,2021,US,183830,2491,0
4,2021,US,1148121,26160,0
4,2021,US,131437,2303,0
4,2021,US,0,0,0
4,2021,US,147897,2669,0
4,2021,US,577550,9495,0
4,2021,US,122532,1962,0
4,2021,US,846472,12188,0
4,2021,US,2890257,50164,0
4,2021,US,396985,2197,0
4,2021,US,22824,246,0
4,2021,US,3093,27,0
4,2021,US,658341,10751,0
4,2021,US,401718,5487,0
4,2021,US,152733,2674,0
4,2021,US,659600,7542,0
4,2021,US,58069,707,0
