Month_As_Number,Year,Country,Confirmed,Deaths,Recovered
4,2020,Chile,14885,216,8057
4,2021,Chile,48545,961,46414
4,2021,Chile,70092,875,66344
4,2021,Chile,20057,393,18877
4,2021,Chile,17983,201,16839
4,2021,Chile,4245,30,4016
4,2021,Chile,114575,1866,109228
4,2021,Chile,31810,613,30205
4,2021,Chile,68569,914,66256
4,2021,Chile,33456,375,32102
4,2021,Chile,25196,368,24170
4,2021,Chile,70308,1178,65514
4,2021,Chile,494775,14105,465740
4,2021,Chile,25811,453,24535
4,2021,Chile,47607,1035,44836
4,2021,Chile,33517,610,31980
4,2021,Chile,55,0,48
4,2021,Chile,84390,2270,78657
