Month_As_Number,Year,Country,Confirmed,Deaths,Recovered
1,2020,Mainland China,5806,204,141
1,2020,Mainland China,538,0,14
1,2020,Mainland China,436,0,11
1,2020,Mainland China,352,2,3
1,2020,Mainland China,332,0,2
1,2020,Mainland China,240,0,7
1,2020,Mainland China,237,0,3
1,2020,Mainland China,211,0,1
1,2020,Mainland China,184,0,2
1,2020,Mainland China,177,1,1
1,2020,Mainland China,168,0,5
1,2020,Mainland China,139,1,5
1,2020,Mainland China,135,1,9
1,2020,Mainland China,120,0,0
1,2020,Mainland China,87,0,2
1,2020,Mainland China,87,0,0
1,2020,Mainland China,83,0,1
1,2020,Mainland China,82,1,0
1,2020,Mainland China,59,2,0
1,2020,Mainland China,52,1,1
1,2020,Mainland China,48,0,1
1,2020,Mainland China,39,0,1
1,2020,Mainland China,32,0,0
1,2020,Mainland China,29,0,2
1,2020,Mainland China,29,0,0
1,2020,Mainland China,21,0,0
1,2020,Mainland China,20,0,1
1,2020,Mainland China,17,0,0
1,2020,Mainland China,14,0,1
1,2020,Mainland China,8,0,0
1,2020,Mainland China,1,0,0
