Month_As_Number,Year,Country,Confirmed,Deaths,Recovered
4,2021,Ukraine,74123,1024,59492
4,2021,Ukraine,53031,1122,41150
4,2021,Ukraine,77002,1640,61101
4,2021,Ukraine,40372,1210,37420
4,2021,Ukraine,120225,3305,96967
4,2021,Ukraine,79066,1721,60572
4,2021,Ukraine,83766,1952,77089
4,2021,Ukraine,134970,2706,106391
4,2021,Ukraine,30887,896,25016
4,2021,Ukraine,83080,1598,68187
4,2021,Ukraine,194630,4567,122831
4,2021,Ukraine,118138,2342,98278
4,2021,Ukraine,18017,645,10788
4,2021,Ukraine,23214,710,18527
4,2021,Ukraine,128998,3246,100933
4,2021,Ukraine,62848,1597,52353
4,2021,Ukraine,133129,2518,99325
4,2021,Ukraine,71184,1529,59466
4,2021,Ukraine,71111,1007,61552
4,2021,Ukraine,14043,619,12906
4,2021,Ukraine,72398,1117,62115
4,2021,Ukraine,65810,1055,56902
4,2021,Ukraine,67607,1495,50608
4,2021,Ukraine,56958,991,48385
4,2021,Ukraine,59936,1515,53214
4,2021,Ukraine,95406,1899,77184
4,2021,Ukraine,83931,1581,66907
