Month_As_Number,Year,Country,Confirmed,Deaths,Recovered
1,2020,China,0,0,0
3,2020,Colombia,906,16,31
4,2020,Colombia,6207,278,1411
4,2021,Colombia,6121,236,5833
4,2021,Colombia,467418,9618,434892
4,2021,Colombia,6449,185,6048
4,2021,Colombia,234453,6778,215392
4,2021,Colombia,79886,1547,76394
4,2021,Colombia,53209,1240,50192
4,2021,Colombia,60809,1183,56830
4,2021,Colombia,783413,15635,723315
4,2021,Colombia,17473,655,16621
4,2021,Colombia,15126,336,14240
4,2021,Colombia,30362,811,28733
4,2021,Colombia,52486,1410,49284
4,2021,Colombia,7918,218,7347
4,2021,Colombia,51902,2212,47505
4,2021,Colombia,126271,3362,118880
4,2021,Colombia,1416,22,1381
4,2021,Colombia,2359,40,2290
4,2021,Colombia,53533,1856,50994
4,2021,Colombia,28589,893,26592
4,2021,Colombia,58800,2220,54190
4,2021,Colombia,46648,1065,44700
4,2021,Colombia,53562,1762,50497
4,2021,Colombia,54876,2844,51011
4,2021,Colombia,9466,344,8798
4,2021,Colombia,39155,1165,37232
4,2021,Colombia,56580,1372,53516
4,2021,Colombia,3605,51,3388
4,2021,Colombia,103816,3660,96474
4,2021,Colombia,27620,974,25748
4,2021,Colombia,69393,2209,66207
4,2021,Colombia,0,0,0
4,2021,Colombia,236454,7291,223398
4,2021,Colombia,1227,13,1209
4,2021,Colombia,1539,23,1512
