Month_As_Number,Year,Country,Confirmed,Deaths,Recovered
4,2021,Mainland China,994,6,988
4,2021,Mainland China,1057,9,1040
4,2021,Mainland China,596,6,585
4,2021,Mainland China,591,1,565
4,2021,Mainland China,193,2,190
4,2021,Mainland China,2337,8,2283
4,2021,Mainland China,270,2,266
4,2021,Mainland China,147,2,145
4,2021,Mainland China,188,6,165
4,2021,Mainland China,1317,7,1310
4,2021,Mainland China,1610,13,1597
4,2021,Mainland China,1312,22,1287
4,2021,Mainland China,68158,4512,63640
4,2021,Mainland China,1044,4,1037
4,2021,Mainland China,380,1,376
4,2021,Mainland China,719,0,709
4,2021,Mainland China,937,1,936
4,2021,Mainland China,573,3,570
4,2021,Mainland China,408,2,406
4,2021,Mainland China,75,0,75
4,2021,Mainland China,18,0,18
4,2021,Mainland China,590,3,570
4,2021,Mainland China,876,7,866
4,2021,Mainland China,1984,7,1909
4,2021,Mainland China,251,0,243
4,2021,Mainland China,979,3,952
4,2021,Mainland China,385,3,374
4,2021,Mainland China,1,0,1
4,2021,Mainland China,0,0,3
4,2021,Mainland China,980,3,977
4,2021,Mainland China,342,2,286
4,2021,Mainland China,1343,1,1322
