Month_As_Number,Year,Country,Confirmed,Deaths,Recovered
1,2020,Sweden,1,0,0
3,2020,Sweden,4435,180,16
4,2020,Sweden,20302,2462,1005
4,2021,Sweden,11229,128,0
4,2021,Sweden,23698,329,0
4,2021,Sweden,32946,543,0
4,2021,Sweden,3604,50,0
4,2021,Sweden,37799,308,0
4,2021,Sweden,10809,120,0
4,2021,Sweden,39005,546,0
4,2021,Sweden,20455,235,0
4,2021,Sweden,18655,302,0
4,2021,Sweden,20573,249,0
4,2021,Sweden,28223,322,0
4,2021,Sweden,35971,604,0
4,2021,Sweden,140255,1677,0
4,2021,Sweden,22665,446,0
4,2021,Sweden,229589,4160,0
4,2021,Sweden,36327,517,0
4,2021,Sweden,16556,197,0
4,2021,Sweden,20798,178,0
4,2021,Sweden,23561,458,0
4,2021,Sweden,24558,343,0
4,2021,Sweden,170402,2290,0
