Month_As_Number,Year,Country,Confirmed,Deaths,Recovered
2,2020,Italy,2,0,0
3,2020,Italy,105792,12428,15729
4,2020,Italy,203591,27682,71252
4,2021,Italy,71067,2397,60119
4,2021,Italy,23784,531,17093
4,2021,Italy,59670,1010,43708
4,2021,Italy,389894,6369,291640
4,2021,Italy,368045,12859,311535
4,2021,Italy,105048,3697,93724
4,2021,Italy,322603,7647,269594
4,2021,Italy,99140,4172,89463
4,2021,Italy,802406,32829,717503
4,2021,Italy,97375,2934,88259
4,2021,Italy,13189,474,12109
4,2021,Italy,71056,1161,68933
4,2021,Italy,43902,1343,41497
4,2021,Italy,344357,11237,316999
4,2021,Italy,233497,5836,179232
4,2021,Italy,54260,1381,35644
4,2021,Italy,207626,5391,176991
4,2021,Italy,225972,6155,198690
4,2021,Italy,54322,1350,50017
4,2021,Italy,10884,455,9665
4,2021,Italy,411111,11316,377540
