Month_As_Number,Year,Country,Confirmed,Deaths,Recovered
4,2020,Madagascar,128,0,90
4,2021,Madagascar,36696,637,31013
1,2020,Mainland China,4903,162,90
1,2020,Mainland China,428,0,4
1,2020,Mainland China,354,0,10
1,2020,Mainland China,278,2,2
1,2020,Mainland China,277,0,2
1,2020,Mainland China,200,0,2
1,2020,Mainland China,182,0,1
1,2020,Mainland China,162,0,5
1,2020,Mainland China,158,0,1
1,2020,Mainland China,142,1,1
1,2020,Mainland China,129,0,1
1,2020,Mainland China,114,1,4
1,2020,Mainland China,112,1,5
1,2020,Mainland China,101,0,0
1,2020,Mainland China,78,0,2
1,2020,Mainland China,70,0,0
1,2020,Mainland China,65,1,0
1,2020,Mainland China,63,0,0
1,2020,Mainland China,46,1,1
1,2020,Mainland China,44,2,0
1,2020,Mainland China,41,0,1
1,2020,Mainland China,35,0,1
1,2020,Mainland China,31,0,0
1,2020,Mainland China,26,0,0
1,2020,Mainland China,19,0,0
1,2020,Mainland China,17,0,0
1,2020,Mainland China,14,0,1
1,2020,Mainland China,14,0,0
1,2020,Mainland China,12,0,1
1,2020,Mainland China,8,0,0
1,2020,Mainland China,1,0,0
