Month_As_Number,Year,Country,Confirmed,Deaths,Recovered
3,2020,Botswana,4,1,0
4,2020,Botswana,23,1,5
4,2021,Botswana,46934,712,44960
3,2020,Brazil,5717,201,127
4,2020,Brazil,79685,5513,34132
4,2021,Brazil,77535,1525,63251
4,2021,Brazil,173121,4200,163573
4,2021,Brazil,105133,1536,76652
4,2021,Brazil,370184,12615,316045
4,2021,Brazil,897273,18391,862967
4,2021,Brazil,667528,17418,459424
4,2021,Brazil,377656,7761,359835
4,2021,Brazil,434606,9453,404726
4,2021,Brazil,549269,14895,522213
4,2021,Brazil,265865,7237,236086
4,2021,Brazil,358289,9569,339810
4,2021,Brazil,247236,5686,231163
4,2021,Brazil,1351739,33401,1242487
4,2021,Brazil,469524,12884,438008
4,2021,Brazil,291559,6774,204340
4,2021,Brazil,943020,22229,675526
4,2021,Brazil,404668,13967,343063
4,2021,Brazil,239008,5067,232752
4,2021,Brazil,221868,5446,150649
4,2021,Brazil,966895,24753,928898
4,2021,Brazil,737844,43965,685269
4,2021,Brazil,212000,5143,195322
4,2021,Brazil,95983,1503,89824
4,2021,Brazil,884451,13461,846542
4,2021,Brazil,2888158,95532,2548002
4,2021,Brazil,201124,4246,185920
4,2021,Brazil,159142,2529,139734
