Month_As_Number,Year,Country,Confirmed,Deaths,Recovered
3,2020,Belarus,152,1,47
4,2020,Belarus,13181,84,2072
4,2021,Belarus,357233,2532,347554
3,2020,Belgium,12775,705,1696
4,2020,Belgium,47859,7501,11283
4,2021,Belgium,125999,0,0
4,2021,Belgium,122011,0,0
4,2021,Belgium,113496,0,0
4,2021,Belgium,75280,0,0
4,2021,Belgium,145932,0,0
4,2021,Belgium,120856,0,0
4,2021,Belgium,53961,0,0
4,2021,Belgium,28873,0,0
4,2021,Belgium,54880,0,0
4,2021,Belgium,18713,24185,0
4,2021,Belgium,37679,0,0
4,2021,Belgium,88942,0,0
