Month_As_Number,Year,Country,Confirmed,Deaths,Recovered
4,2020,Netherlands,38802,4711,0
4,2020,Netherlands,100,2,73
4,2020,Netherlands,5,0,0
4,2020,Netherlands,16,1,13
4,2020,Netherlands,75,13,33
4,2021,Netherlands,10608,98,10336
4,2021,Netherlands,1556,15,1465
4,2021,Netherlands,12181,108,11543
4,2021,Netherlands,30563,342,0
4,2021,Netherlands,33324,233,0
4,2021,Netherlands,38848,463,0
4,2021,Netherlands,165595,1965,0
4,2021,Netherlands,35183,250,0
4,2021,Netherlands,100339,1580,0
4,2021,Netherlands,238213,3068,0
4,2021,Netherlands,251268,2507,0
4,2021,Netherlands,96782,1106,0
4,2021,Netherlands,2226,27,2184
4,2021,Netherlands,3527,14,0
4,2021,Netherlands,114591,1239,0
4,2021,Netherlands,25634,233,0
4,2021,Netherlands,354727,4124,0
