Month_As_Number,Year,Country,Confirmed,Deaths,Recovered
4,2021,Russia,14414,174,13849
4,2021,Russia,49588,2058,44442
4,2021,Russia,16802,236,16504
4,2021,Russia,22287,279,21456
4,2021,Russia,61875,936,58297
4,2021,Russia,32743,730,31178
4,2021,Russia,35278,445,32860
4,2021,Russia,36697,629,34571
4,2021,Russia,38102,308,37266
4,2021,Russia,37117,843,35841
4,2021,Russia,11986,123,11674
4,2021,Russia,58779,1424,54416
4,2021,Russia,749,7,733
4,2021,Russia,24160,1364,22011
4,2021,Russia,32285,1452,29902
4,2021,Russia,15419,186,13590
4,2021,Russia,66070,2235,63040
4,2021,Russia,34356,1145,32588
4,2021,Russia,4468,130,4285
4,2021,Russia,23738,450,22877
4,2021,Russia,31760,410,29915
4,2021,Russia,20399,345,19723
4,2021,Russia,34005,311,32192
4,2021,Russia,14444,230,13794
4,2021,Russia,20051,73,19899
4,2021,Russia,45681,466,43776
4,2021,Russia,35034,664,33891
4,2021,Russia,51665,380,49534
4,2021,Russia,22335,523,21543
4,2021,Russia,55958,792,54652
4,2021,Russia,42005,348,39321
4,2021,Russia,43227,898,41997
4,2021,Russia,20571,436,17907
4,2021,Russia,45389,2658,39930
4,2021,Russia,70228,3490,64719
4,2021,Russia,20326,392,18926
4,2021,Russia,36366,700,34064
4,2021,Russia,42487,1156,39803
4,2021,Russia,29775,650,27047
4,2021,Russia,8330,100,8168
4,2021,Russia,13046,228,12434
4,2021,Russia,20038,242,18047
4,2021,Russia,1090149,18258,989411
4,2021,Russia,249230,5801,205105
4,2021,Russia,50305,1157,47687
4,2021,Russia,1096,4,1084
4,2021,Russia,113796,3164,109091
4,2021,Russia,16713,196,16063
4,2021,Russia,29858,121,27954
4,2021,Russia,41030,1750,37741
4,2021,Russia,45682,1384,43200
4,2021,Russia,34073,571,31993
4,2021,Russia,42267,850,38317
4,2021,Russia,44819,638,42143
4,2021,Russia,54348,2161,49157
4,2021,Russia,43512,712,40916
4,2021,Russia,36122,336,27060
4,2021,Russia,87731,4043,78527
4,2021,Russia,27758,449,26221
4,2021,Russia,415015,13181,373725
4,2021,Russia,35099,600,33109
4,2021,Russia,22515,41,22088
4,2021,Russia,61343,1482,58454
4,2021,Russia,58876,931,53423
4,2021,Russia,29401,883,27884
4,2021,Russia,52914,1354,50011
4,2021,Russia,86044,3093,79715
4,2021,Russia,31481,471,28939
4,2021,Russia,20417,458,17499
4,2021,Russia,32101,395,31115
4,2021,Russia,38441,1840,36033
4,2021,Russia,39844,881,37960
4,2021,Russia,35098,467,33437
4,2021,Russia,15809,202,15421
4,2021,Russia,32665,818,29383
4,2021,Russia,53323,1168,50544
4,2021,Russia,31885,1099,29407
4,2021,Russia,56784,1100,54253
4,2021,Russia,44792,998,41827
4,2021,Russia,80413,2629,75761
4,2021,Russia,38531,416,37304
4,2021,Russia,38554,529,36789
4,2021,Russia,42275,625,40801
