Month_As_Number,Year,Country,Confirmed,Deaths,Recovered
4,2020,US,6979,256,0
4,2020,US,355,9,0
4,2020,US,7209,308,0
4,2020,US,3193,57,0
4,2020,US,49310,1946,0
4,2020,US,14758,766,0
4,2020,US,26767,2169,0
4,2020,US,4655,206,0
4,2020,US,49,0,0
4,2020,US,4106,205,0
4,2020,US,33193,1218,0
4,2020,US,25775,1101,0
4,2020,US,103,3,0
4,2020,US,141,5,0
4,2020,US,613,16,0
4,2020,US,1952,60,0
4,2020,US,50358,2215,0
4,2020,US,17182,1116,0
4,2020,US,6843,148,0
4,2020,US,3839,134,0
4,2020,US,4537,234,0
4,2020,US,27660,1845,0
4,2020,US,1056,52,0
4,2020,US,20849,1078,0
4,2020,US,60265,3405,0
4,2020,US,40399,3670,0
4,2020,US,4644,319,0
4,2020,US,6569,250,0
4,2020,US,7761,339,0
4,2020,US,451,16,0
4,2020,US,3851,56,0
4,2020,US,4934,230,0
4,2020,US,2058,60,0
4,2020,US,116365,6771,0
4,2020,US,3213,112,0
4,2020,US,299691,23477,0
4,2020,US,10180,382,0
4,2020,US,1033,19,0
4,2020,US,14,2,0
4,2020,US,17303,1044,0
4,2020,US,3473,214,0
4,2020,US,2446,101,0
4,2020,US,46327,2373,0
4,2020,US,1433,86,0
4,2020,US,0,0,120720
4,2020,US,8247,340,0
4,2020,US,5882,231,0
4,2020,US,2373,13,0
4,2020,US,10366,195,0
4,2020,US,27542,803,0
4,2020,US,4497,45,0
4,2020,US,862,47,0
4,2020,US,57,4,0
4,2020,US,14962,522,0
4,2020,US,14070,828,0
4,2020,US,1110,38,0
4,2020,US,6520,308,0
4,2020,US,545,7,0
