Month_As_Number,Year,Country,Confirmed,Deaths,Recovered
3,2020,US,1063,23,0
3,2020,US,119,3,0
3,2020,US,1289,24,0
3,2020,US,523,8,0
3,2020,US,8210,173,0
3,2020,US,2966,69,0
3,2020,US,3128,69,0
3,2020,US,319,3,0
3,2020,US,49,0,0
3,2020,US,495,9,0
3,2020,US,6741,85,0
3,2020,US,3929,111,0
3,2020,US,103,3,0
3,2020,US,69,2,0
3,2020,US,204,0,0
3,2020,US,515,8,0
3,2020,US,5994,99,0
3,2020,US,2158,49,0
3,2020,US,497,7,0
3,2020,US,434,9,0
3,2020,US,628,11,0
3,2020,US,5237,239,0
3,2020,US,303,5,0
3,2020,US,1660,18,0
3,2020,US,6620,89,0
3,2020,US,7615,259,0
3,2020,US,629,12,0
3,2020,US,937,20,0
3,2020,US,1526,15,0
3,2020,US,198,5,0
3,2020,US,172,3,0
3,2020,US,1114,26,0
3,2020,US,357,3,0
3,2020,US,18696,267,0
3,2020,US,315,4,0
3,2020,US,75833,1550,0
3,2020,US,1535,12,0
3,2020,US,122,3,0
3,2020,US,2,0,0
3,2020,US,2199,90,0
3,2020,US,568,23,0
3,2020,US,690,18,0
3,2020,US,4963,63,0
3,2020,US,239,8,0
3,2020,US,0,0,7024
3,2020,US,488,11,0
3,2020,US,1083,22,0
3,2020,US,108,1,0
3,2020,US,2391,23,0
3,2020,US,3809,56,0
3,2020,US,888,5,0
3,2020,US,293,13,0
3,2020,US,30,0,0
3,2020,US,1249,27,0
3,2020,US,5432,225,0
3,2020,US,162,1,0
3,2020,US,1412,25,0
3,2020,US,109,0,0
