Month_As_Number,Year,Country,Confirmed,Deaths,Recovered
4,2020,Mainland China,991,6,985
4,2020,Mainland China,593,9,542
4,2020,Mainland China,579,6,573
4,2020,Mainland China,355,1,353
4,2020,Mainland China,139,2,137
4,2020,Mainland China,1588,8,1557
4,2020,Mainland China,254,2,252
4,2020,Mainland China,147,2,145
4,2020,Mainland China,168,6,162
4,2020,Mainland China,328,6,318
4,2020,Mainland China,939,13,587
4,2020,Mainland China,1276,22,1254
4,2020,Mainland China,68128,4512,63616
4,2020,Mainland China,1019,4,1015
4,2020,Mainland China,200,1,150
4,2020,Mainland China,653,0,648
4,2020,Mainland China,937,1,936
4,2020,Mainland China,111,1,99
4,2020,Mainland China,146,2,143
4,2020,Mainland China,75,0,75
4,2020,Mainland China,18,0,18
4,2020,Mainland China,306,3,253
4,2020,Mainland China,787,7,772
4,2020,Mainland China,647,7,597
4,2020,Mainland China,197,0,164
4,2020,Mainland China,561,3,558
4,2020,Mainland China,190,3,183
4,2020,Mainland China,1,0,1
4,2020,Mainland China,0,0,0
4,2020,Mainland China,76,3,73
4,2020,Mainland China,185,2,181
4,2020,Mainland China,1268,1,1263
