Month_As_Number,Year,Country,Confirmed,Deaths,Recovered
3,2020,Mauritius,143,5,0
4,2020,Mauritius,332,10,306
4,2021,Mauritius,1208,17,1068
3,2020,Mexico,1094,28,35
4,2020,Mexico,17799,1732,11423
4,2021,Mexico,26000,2369,0
4,2021,Mexico,47633,8049,0
4,2021,Mexico,30205,1345,0
4,2021,Mexico,9500,1184,0
4,2021,Mexico,10901,1535,0
4,2021,Mexico,52167,6658,0
4,2021,Mexico,639655,32502,0
4,2021,Mexico,67976,6194,0
4,2021,Mexico,11256,1177,0
4,2021,Mexico,33435,2389,0
4,2021,Mexico,130643,10598,0
4,2021,Mexico,39577,4324,0
4,2021,Mexico,38238,6099,0
4,2021,Mexico,85345,11873,0
4,2021,Mexico,244002,33904,0
4,2021,Mexico,47108,5592,0
4,2021,Mexico,32157,3119,0
4,2021,Mexico,11761,1783,0
4,2021,Mexico,122440,9346,0
4,2021,Mexico,45858,3481,0
4,2021,Mexico,83205,11341,0
4,2021,Mexico,68086,4157,0
4,2021,Mexico,23119,2609,0
4,2021,Mexico,62437,5162,0
4,2021,Mexico,37773,6010,0
4,2021,Mexico,73265,6508,0
4,2021,Mexico,64461,4036,0
4,2021,Mexico,56544,4843,0
4,2021,Mexico,19434,2390,0
4,2021,Mexico,0,0,1861861
4,2021,Mexico,59729,9499,0
4,2021,Mexico,37076,3625,0
4,2021,Mexico,29948,2746,0
