Country,Deaths
US,1.07452695E8
Brazil,6.0861917E7
Mexico,3.7056047E7
India,3.7005858E7
UK,2.5717909E7
Italy,2.2651691E7
France,1.981286E7
Spain,1.6924215E7
Russia,1.5286961E7
Iran,1.3672667E7
