Country,Deaths
Martinique,6.0
Vanuatu,12.0
Timor-Leste,59.0
Bhutan,115.0
Grenada,120.0
Others,189.0
Fiji,525.0
Burundi,736.0
Saint Vincent and the Grenadines,775.0
MS Zaandam,794.0
