Country,Recovered
Gibraltar,1.0
French Guiana,6.0
Micronesia,94.0
Vanuatu,171.0
Samoa,294.0
Marshall Islands,624.0
MS Zaandam,1057.0
Solomon Islands,2033.0
Holy See,4684.0
Others,5003.0
