Country,Recovered
India,2.328844877E9
Brazil,1.940567667E9
Russia,6.69086949E8
US,5.03370956E8
Turkey,4.32547304E8
Colombia,3.89809241E8
Italy,3.88045797E8
Germany,3.64366983E8
Argentina,3.58704605E8
Mexico,3.1046874E8
